Country,countryCode,N,Species Richness
Sweden,SE,565214,126
Ireland,IE,144570,43
France,FR,83491,247
Germany,DE,51761,149
Spain,ES,36110,221
Portugal,PT,20614,116
Italy,IT,12791,220
Switzerland,CH,11128,162
Greece,GR,10762,173
Austria,AT,7113,149
Bulgaria,BG,5340,164
Slovenia,SI,4949,128
Norway,NO,4385,90
North Macedonia,MK,2919,140
Poland,PL,2919,91
United Kingdom,GB,2422,44
Hungary,HU,2411,108
Luxembourg,LU,1777,54
Croatia,HR,1492,107
Finland,FI,1205,69
Czechia,CZ,894,60
Denmark,DK,713,58
Slovakia,SK,626,72
Andorra,AD,562,115
Montenegro,ME,418,91
Albania,AL,253,76
Bosnia & Herzegovina,BA,139,56
Serbia,RS,135,57
Malta,MT,117,13
Liechtenstein,LI,63,26
Gibraltar,GI,50,17
Belgium,BE,17,7
Kosovo,XK,15,12
Monaco,MC,11,7
San Marino,SM,2,1
